entity_id,entity_name
745178599,steven kaplan
2913295952,andrew dowdle
3525822762,scott lindquist
3854987576,trevor bedford
3554399752,angela rasmussen
1384906673,scott galloway
1553796359,jack dorsey
1538670796,kristopher richardson
3513044806,elizabeth wang
909601218,jessica levinson
1584678087,dunya poltorak
3927297710,abi gewirtz
2031305868,steve wozniak
2059962565,karan girotra
2925865536,chan chun
3257931858,chong ja ian
3947777564,george rutherford
4219671993,peter beilenson
2245871949,john taylor
3497447636,peter fisher
2311050611,laurie garrett
3866497993,stephen i vladeck
3894187938,richard grenell
3466658925,jurrien timmer
3638980905,robert r johnson
1587199351,kim jong un
2289783634,andrei lankov
373021556,leif eric easley
2116766991,james leduc
653592318,eugene gu
2481285714,kathie allen
1594088641,bruce liu
1948277201,roy kwong
1739385462,seema yasmin
2622261057,sam fink
558957649,seth meyers
3330317803,stephen colbert
1089647729,gabriel zucman
1769101578,paul sax
2998189128,jonathan quick
970136443,rachel levine
2074100635,tom wolf
3375710055,paul gosar
3354063604,liz cheney
2697600105,jeremy alder
3466236083,david magnus
3891400852,kathryn conlon
388448204,bob wachter
3234862450,robyn nelson
2727468368,marc benioff
654306360,wendy k mariner
1732134534,edward r utley
1798527540,jeremy adler
1691748405,ron paul
1613697478,elon musk
2974385697,nassim nicholas taleb
1703507651,linda lacina
3151085188,siouxsie wiles
2777457449,howard zucker
2212801610,christopher m tedeschi
1469525369,kate malenczak
2328131728,asher hildebrand
568580177,david price
15620163,alvin tillery jr
412786677,tom friedman
1196737957,bret stephens
1340331937,david katz
3713359709,perlstein
1352429390,jim malatras
1339990052,lee miringoff
861101420,brian stelter
2455913553,dannagal young
4126825913,esther choo
1717055432,chris spitters
3395204354,josephine wolff
1996544893,joneigh khaldun
2497157916,gretchen whitmer
1924537602,jenny harries
3765419426,rupert beale
3057030370,jonathan reiner
614602063,erin burnett
279384950,dick cheney
1105482877,franck riester
2604012974,michel barnier
2857277559,jeffrey duchin
4177107489,kathryn stephenson
291350669,nick rakocevic
2652721689,christian end
1289392489,neil cavuto
1027532303,hal stern
3103424864,howard gillman
1683566401,brett sutton
3875217238,jenny mikakos
773301171,george conway
2176966651,chloe taylor
3714352368,sander van der linden
848473446,harry holzer
3165221245,jonathan t fluharty jaidee
1909946818,nicholas chater
3798891877,mitch mcconnell
59054068,glen stubbestar tribune
2743131226,ann keller
3982003598,lawrence o donnell
1610357270,scott morrison
3254641121,raina macintyre
1395105750,martin wachs
2646890927,lance hill
3579681213,rick scott
3778194836,jair bolsonaro
4257898548,piontti
439401628,robert anolik
3500215639,kelly ripa
1979111164,brian monahan
2300568661,angela merkel
3598161009,moulton
2453038797,mike dewine
276158738,nathan sheets
2062014473,jason furman
378221696,dylan scott
788772590,eliza barclay
1638456852,morgan harper
3025525507,joyce beatty
2669381224,peter dutton
7992533,barbara lee
2911608077,don moynihan
437439720,paul biddinger
1277084685,eric rosengren
3956296344,gary tearney
1265200358,steven m opal
3800367155,jason m opal
1414265633,gail saltz
1837822650,taylor swift
143056920,david pierre
3591292980,adam schechter
2185555677,emmanuel macron
2257520999,rhea paul
784197238,oliver stuenkel
4019457557,jose alvaro moises
2280241571,dana perino
1110666701,alex marlow
2778906713,melissa francis
4259620839,dagen mcdowell
2386163257,mike huckabee
2514433786,ralph lauren
4161438184,patrice louvet
55926745,nathaniel smith
3068597594,asa hutchinson
2621572662,nate smith
2830044218,laurence tribe
1454155413,george e pataki
2402968513,amy acton
3568845630,jeffrey toobin
535073870,james robb
1809670118,joe schwarcz
594502261,john mccrank
1100511880,jonathan fulkerson
682842011,fermin leguen
2057469028,robert w amler
754554064,daniel schneider
4119568907,kristin harknett
4236902286,w ian lipkin
287183550,marc elias
3398115117,joshua douglas
2384257488,william haseltine
4175305620,richard martinello
1380415432,marie land
3558611797,shane g owens
2650742897,ignaz semmelweis
3269943870,miryam wahrman
1653108045,franklin foer
1768011210,keiji fukuda
2149148286,jeff nelken
3042640713,john swartzberg
3463264181,craig hedberg
2237012452,scott morrow
3606948048,richard jackson
1284230374,shah mahmood qureshi
2156529716,arif alvi
112917732,zoltan kiss
942098178,cecilia muller
1045273052,emma brown
1292347840,laurie mcginley
566800399,juliet eilperin
1017810395,carolyn johnson
1459999710,carolyn hiller
2205609499,timothy stenzel
1894276764,arielle charnas
581372854,joel breman
2568682592,bahar gholipour
1779537410,courtney gidner
3955726563,michael bennet
77975781,zaheer shah
1105549831,steve scalise
1658344221,ann wagner
4000829369,drew ferguson
3782969727,diaz balart
3335630059,luciano orsini
3909930066,robert uzzo
840070846,kristin fisher
3632019858,william fisher
639049920,lindsey baden
2178274250,eric j rubin
1488320827,neil fishman
1544340747,jovelle tamayo
1199278952,scott weaver
1865904683,thomas theuringer
1039971427,benjamin cowling
1128142861,chen shih chung
1866184240,john snow
3233436862,karla kirkegaard
2553703122,philippe gautret
298245829,timothy byun
3701736986,sandra smith
116847317,rekha kuttikat
17467046,jesus silva herzog
1915329065,andres manuel lopez obrador
1000069620,jorge alcocer
1083768580,nicolas maduro
4203011963,julio castro
3016339394,adam crum
3634145065,anne zink
36806241,luca lorini
40186978,pope john xxiii
487940267,bruno maffeis
1022265013,carlo fino
2185109177,gregory rigano
3409420060,james todaro
1589905876,jennifer m chacon
2066411986,karla mckanders
4199930328,angela rogers
615539899,laurence fishburne
3234127554,tracey mcnamara
2171606902,lawrence glickman
2210546449,jondhi harrell
2911841976,lisa dabby
1139164083,adam kucharski
1610987078,ezra klein
2474525263,chris dawson
3088391549,kerry chant
206042611,claire hopkins
1145845864,nirmal kumar
163228055,kent nishimura
2702298140,laurie levenson
906614940,jerome salomon
3156157915,bernard kouchner
171672488,shelley conroy
4165172892,jeffress
427316134,mitt romney
3368499670,mike lee
3672723018,shane paul mcghie
1031037987,liz johnson
3821385976,john thune
2744001935,jerry moran
856225004,tom brandt
928334431,linda quick
3615663778,bao ping zhu
596722543,michael t osterholm
3207439757,joe rogan
2485610840,jamie e baker
1794254811,ashraf ghani
3126793834,abdullah abdullah
3442292091,stephen farnsworth
3637800339,ralph northam
266540947,chad pecknold
2349014012,larry hogan
114067415,roy fried
2830953908,michael lebeau
3997696670,kurt schley
1657434819,anne marie slaughter
2331988663,david archer
683882413,vipin narang
3055433926,donald bolduc
925396688,josh mcelveen
3210743623,peggy whitson
3271094831,al holland
3832171583,anne mcclain
2037608169,abbey hardy fairbanks
675245764,matthew abinante
1051067887,raul roa
2432078785,joe risser
1752126330,bonnie berkowitz
2122394301,aaron steckelberg
3669754513,john muyskens
2267646418,david veesler
2499270497,chad stone
3416239319,arindrajit dube
830213940,alexei navalny
1487848642,de jesus
580660199,jeffrey hyman
918783304,thomas w eppes jr
1729519939,sean truman
2096331294,steven stack
327843832,jeffrey p henderson
1809591082,arturo casadevall
4249632989,michael brown
3534141040,mitchell katz
1936962866,david sanger
1258662069,yuval baruch
3814689018,uzi rotstein
613484503,misha friedman
2304010429,nicholas christakis
1469378159,yang hengjun
2870150013,marise payne
1241628660,anna goldfarb
1680479536,russell g buhr
3984096320,catherine calderwood
4095462578,prince charles
2941060766,hye ok chung
235077076,gillian schmitz
244777681,reena ninan
1706946443,anne applebaum
1794966589,nahid bhadelia
177029551,thomas dobbs
2369908269,tate reeves
3534509069,peter slavin
3740250293,christian rose
2098356025,colin camerer
796589485,john bessler
3631984825,amy klobuchar
2618355773,matthew aldrich
3060021238,lori peek
3470971275,amy mcgrath
8541634,reutersdaniele mascolo
3756797925,adriano decarli
2674312785,tim killian
2762267110,ruth faden
2149951119,eric talley
2960910522,ed bastian
89506323,ritchie
3137859749,rachel elise barkow
3262859442,charlie kirk
3322651306,dylan bugden
121680920,emily farris
2881889623,jason stanley
62819802,chris beyrer
2313183637,jeffrey levi
2257518353,christina francis
3628515059,alexis mcgill johnson
1345637464,ireland tate
1530876311,james hildreth
2797340813,remington nevin
3340140379,mark t esper
188168060,sirous asgari
1712686819,mohammad javad zarif
2092820975,jay timmons
3911774952,jeff bezos
4230787650,atul gawande
383581974,kang xing jin
3797011450,priscilla chan
3364949723,jared baeten
1773636903,jonathan fielding
3230583928,lauren sauer
4204062356,stephanie hall
623299733,barbara ferrer
111753224,eric anderson
1793535567,thomas mcgarity
1297757566,edward schneider
4033743177,susanne straif bourgeois
1361003904,jaime sanchez
2028490573,victor gomez
1459241755,serena williams
2874006581,carla edwards
807929206,seligsohn
1335327934,elanah uretsky
2065868453,ava louise
1514403706,matt willis
1951019702,lisa santora
571763385,clive palmer
4057058443,peter collignon
81288235,duncan young
4000218260,andrew winton
1142767385,david spiegelhalter
1859644288,ming lin
2986993472,charles prosper
3014291653,ralph baine
1771457863,doug ducey
720267979,rodney howard browne
3722363031,lauren green
3538555073,chad chronister
763499665,homer venters
3876393785,ross macdonald
1491244879,nabila munawar
4111244778,fuad nahdi
50578083,joaquin morante
1608009273,jeff landry
2934010861,fred mills
1958629948,bayard winthrop
2124821261,brad bell
1552069198,neal elattrache
3792543532,chris sale
974916990,tyler beede
1893948852,richard briffault
3223537625,greg abbott
680335208,kari williams
1007652318,kiyah wright
1018172848,philip o ozuah
1555210941,james t goodrich
438341052,nisha basu
3571112532,peter foley
3494956834,nina turner
3684554053,hilary rosen
2451189468,roberto stella
3492184788,marco cambielli
1390594945,jeff pash
1782889972,thom mayer
4135575591,allen sills
338543440,r daniel kelemen
3734728540,viktor orban
1702246084,christopher colwell
2452404826,bob egelko
1065755326,thomas keller
