disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
2185555677,emmanuel macron,1
386118469,mitsuo kaku,1
3265905291,grant tarling,1
728381099,aimee sisson,1
297767607,claudia cohn,1
3977149016,jennifer smith,1
3466236083,david magnus,1
1587199351,kim jong un,1
373021556,leif eric easley,1
1728665141,kate lovett,1
1450916291,maria rita gismondo,1
2571719637,maynard james keenan,1
2267379466,john wakefield,1
1515099150,travis stork,1
1829624883,warren hogan,1
1844800742,robin shattock,1
1707319734,chris williams,1
3721000567,greer millard,1
2631163598,andy slavitt,1
3904147447,william jaquis,1
596722543,michael t osterholm,1
2837705335,farhan bhatti,1
2684437516,rob davidson,1
2862654643,ganesh suntharalingam,1
409349844,michele dauber,1
1407488423,steven miles,1
1161076405,molly conger,1
3679914360,ben carson,1
3007475817,edward morris,1
2236465274,paul komesaroff,1
2127157185,owen tsang tak yin,1
3262823712,eric trump,1
571325757,fabio wajngarten,1
804378184,michael knight,1
2821096253,rita wilson,1
924554625,debbie wasserman schultz,1
2070225147,gary bettman,1
1913296004,valerie arkoosh,1
3396039178,justin trudeau,1
1120699085,charles barkley,1
1979111164,brian monahan,1
1397567295,jeremy hunt,1
2755738313,don jr,1
4287545473,john logan,1
1102515489,christl donnelly,1
3288060635,sukhum kanchanapimai,1
3444104940,choi jae wook,1
1290843392,todd ellerin,1
2796491628,kimberly guilfoyle,1
2863976193,robert o brien,1
791422802,dean sidelinger,1
1519533581,chen guozhong,1
1626986776,raj govindaiah,1
4059330387,kathy lofy,1
2498426641,kate broderick,1
3028662752,xiao qiang,1
186810939,huang jinhai,1
1155473579,mathew mcdougall,1
454110755,mahmoud hashemi shahroudi,1
1522196244,luo xianke,1
415475282,stella kyriakides,1
1632946403,stuart lewena,1
3401379334,jay ritter,1
177617474,tony xu,1
553658953,yuan herong,1
2366846383,michael mcbride,1
3808638230,clare farrell,1
347081545,phillip williamson,1
731810889,wang guangfa,1
2637737643,chen katz,1
181643711,lopez gatell,1
1170652244,william walters,1
1414453140,muntu davis,1
944164688,brendan rynne,1
188736126,arnold hopland,1
3517356672,dawn emerick,1
2256464832,bob saynor,1
1471274854,mark rumble,1
2754352442,rachel thorn heathcock,1
2875851767,robert hacking,1
1158113857,sheng jifang,1
3125547865,sarah swindells,1
3124548036,jeannie hopland,1
2656523370,shigeru omi,1
4152417416,kevin hopland,1
2659734369,liu liang,1
3778878845,michael ng,1
654365860,daniel lucey,1
1978905122,walter russell mead,1
3055840859,geng shuang,1
3475745628,hitoshi oshitani,1
1915329065,andres manuel lopez obrador,1
3911526891,rich mccormick,1
3514993978,david staples,1
3334176397,john garamendi,1
2964195811,frank lampard,1
3635016407,jurgen klopp,1
3622479046,kyriakos mitsotakis,1
1440104548,recep tayyip erdogan,1
1745965351,charles michel,1
379452513,anne schuchat,1
1052430603,oliver brecht,1
2836888595,niki edwards,1
2316165138,rohan miller,1
880588774,gloria aguilera,1
3853937565,stephen s morse,1
3016959787,janaki amin,1
2408514349,aaron milstone,1
2161093306,andrew mehle,1
4258180956,jennifer ashton,1
2205144998,amy robach,1
4106795050,asma adnane,1
3430562043,aliyah cardoza,1
209748463,lord winston,1
3891254880,warwick mckibbin,1
3044387564,robyn gershon,1
3633339311,stephen yale loehr,1
1962361668,kevin ouyang,1
4199251079,jerry m zuckerman,1
1472200657,james watt,1
1241765930,timothy brewer,1
734195353,john cuddihy,1
2274412135,carlos del rio,1
2921819068,chen jingyu,1
3957601082,daniel jolley,1
729164797,hannah fry,1
2353040790,george diaz,1
1380422408,thomas levy,1
1580458197,alpha fowler,1
3420475427,leonard schleifer,1
3872757237,paul stoffels,1
4109440463,pia lamberty,1
3854149222,bruce ribner,1
1384688130,patrice harris,1
273917422,camilla pashley,1
2723170865,angela rippon,1
1847131484,stew leonard jr,1
563201866,morris cohen,1
1490399645,julie strous,1
3873103960,jolion mcgreevy,1
2923102837,joseph habboushe,1
3490144489,eric cioe pena,1
2475341886,joseph alsousou,1
164869899,mario alparone,1
2552947696,daniela trezzi,1
1640138450,florian krammer,1
3118583443,bruce anderson,1
3927083172,david gifford,1
363368302,hadi susanto,1
3054647976,rod pearce,1
565303293,peter piot,1
1916784637,ken johnson,1
2489717339,jinzi wu,1
2000144996,suzi nou,1
1262543669,ari ercole,1
2366377710,joel miller,1
229631680,james findlay,1
516726590,dominique thompson,1
3368499670,mike lee,1
1250541722,anna hemming,1
3243767712,jack keane,1
1672417598,nichola roberston,1
878594403,hobart kirsty short,1
332305919,sukhwinder sohal,1
620154079,kari stefansson,1
964643599,robert chesney,1
2683344912,jon karl,1
525090073,david allen,1
2255613791,anat admati,1
724500127,mehdi veisi,1
1424447736,joe biden,1
415609113,eric feigl ding,1
3253908628,sunetra gupta,1
3756797925,adriano decarli,1
3790206261,fran unsworth,1
951391901,irina sannikova,1
1719760463,michelle ackerley,1
3178013278,denis mcfadden,1
2177468544,volkmar denner,1
1345637464,ireland tate,1
1530876311,james hildreth,1
2946325744,sonal gupta,1
2988961266,benny mathew,1
3259311370,kamini doobay,1
4103906755,william da silva,1
3922865400,jennifer prah ruger,1
867320228,robert j kim farley,1
4205401367,catherine troisi,1
1510678636,phil kloer,1
1650735977,anthony almojera,1
2962639040,stephen curry,1
1783817836,barack obama,1
4215475815,melissa jong,1
330986840,charles moore,1
1825437664,john crozier,1
3679063005,ian gilbert,1
320366945,andrew hastie,1
385112406,stuart varney,1
1074969115,kee cheung oam,1
2782668975,anne lashford,1
1965183250,michelle au,1
2562287989,vicki jackson,1
2379461131,steve schow,1
2370737036,julie greicius,1
2896445921,thomas broker,1
2185109177,gregory rigano,1
855892309,liz allen,1
1173463317,tucker carlson,1
1485845624,louise chow,1
1564707261,laura ingraham,1
1828614490,andrew gibson,1
3223537625,greg abbott,1
3875217238,jenny mikakos,1
338412126,patrick walker,1
2293958995,vladimir vladimirov,1
472615626,vincent racaniello,1
2762267891,scott mckeown,1
2139677528,moby rehman,1
51901157,nigel stapledon,1
3440960444,ian hall,1
3648736134,andrew hughes,1
1005215147,grace fusco,1
765748184,ram yeleti,1
3573092580,mayank sardana,1
3097088042,david walker,1
1986674095,claire hooker,1
2439032924,david r boulware,1
3145096588,jarred evans,1
3860175030,simon stevens,1
3954917179,jennifer cassidy,1
2873819725,justin o grady,1
36806241,luca lorini,1
40186978,pope john xxiii,1
2272858589,ayatollah ali khamenei,1
1011591872,rachel clarke,1
1629958401,heather blake,1
1422383440,david berendes,1
997347617,adam wolanski,1
763499665,homer venters,1
3633384022,colin hutchinson,1
751283604,dmitry belyakov,1
3948645215,sergei skripal,1
2694662239,faye kirkland,1
1908494961,david campbell,1
