orig_index,raw_name,num_words
687,bruce a elleman,3
688,bruce anderson,2
689,bruce aylward,2
690,bruce bradbury,2
691,bruce chapman,2
692,bruce dart,2
693,bruce kleinschmidt,2
694,bruce liu,2
695,bruce pyenson,2
696,bruce ransom,2
697,bruce ribner,2
698,bruce sachais,2
699,bruce schwartz,2
700,bruce y lee,3
701,bruno maffeis,2
702,bryan ashenbaum,2
703,bryan hughes,2
704,bryce evans,2
705,buffett,1
706,buhr,1
707,bukhari,1
708,bukola oladunni salami,3
709,burroughs,1
710,burton bentley ii,3
711,c jason wang,3
712,c kerry fields,3
713,c william hanson,3
714,caesar djavaherian,2
715,cai yi,2
716,cairns,1
717,caitlin m rivers,3
718,caitlin orysko,2
719,calvin d sun,3
720,calvin sun,2
721,camara phyllis jones,3
722,cameron kaiser,2
723,cameron webb,2
724,camilla pashley,2
725,camille locht,2
726,candy gunther brown johnny,4
727,cannon,1
728,cao bin,2
729,capistrano,1
730,cara christ,2
731,caren campbell,2
732,carina king,2
733,carissa baker,2
734,carl batt,2
735,carl bergstrom,2
736,carl chudnofsky,2
737,carl fichtenbaum,2
738,carl minzner,2
739,carl o donnell,3
740,carl sydenhag,2
741,carl winter,2
742,carla edwards,2
743,carla perissinotto,2
744,carlo fino,2
745,carlos bravo regidor,3
746,carlos del rio,3
747,carlos franco paredes,3
748,carlos melo,2
749,carlos ruiz,2
750,carlson,1
751,carmen kavali,2
752,carol chiung hui peng,4
753,carole lieberman,2
754,caroline bruckner,2
755,caroline buckee,2
756,caroline seguin,2
757,carolyn c cannuscio,3
758,carolyn coyne,2
759,carolyn dresler,2
760,carolyn hiller,2
761,carolyn johnson,2
762,carolyn machamer,2
763,carolyn maloney,2
764,carolyn mcauliffe,2
765,carolyn mcclanahan,2
766,carolyn orbann,2
767,carre,1
768,carri chan,2
769,carrie kovarik,2
770,carrie levan,2
771,carson,1
772,carsten murawski,2
773,cary cooper,2
774,cassandra calabrese,2
775,cassidy,1
776,castaneda,1
777,catharina boehme,2
778,catherine beanland,2
779,catherine belling,2
780,catherine calderwood,2
781,catherine ceniza choy,3
782,catherine fisk,2
783,catherine ho,2
784,catherine li,2
785,catherine o neal,3
786,catherine sabiston,2
787,catherine troisi,2
788,catherine worsnop,2
