orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
282,andrew coggins,2,"[('andrew coggins jr', 95), ('andrew marr programme', 86), ('andrew stanley pekosz', 86), ('andrew kipnis', 74), ('andrew gibson', 74), ('andrew chan', 72), ('andrew cuomo', 69), ('andrew crane', 69), ('andrew levin', 69), ('andrew saul', 67), ('andrew beam', 67), ('andrew hughes', 67), ('andrew pekosz', 67), ('andrew norton', 67), ('june andrew', 67), ('andrew winton', 67), ('andrew preston', 64), ('andrew chesnut', 64), ('andrew m cuomo', 64), ('andrew weber', 64)]",andrew coggins jr
285,andrew cuomo,2,"[('andrew m cuomo', 95), ('cuomo', 90), ('andrew marr programme', 86), ('andrew stanley pekosz', 86), ('andrew norton', 72), ('andrew noymer', 72), ('andrew saul', 70), ('andrew chan', 70), ('andrew beam', 70), ('andrew chesnut', 69), ('andrew coggins', 69), ('andrew rochford', 67), ('andrew muhammad', 67), ('gov cuomo', 67), ('andrew tatem', 67), ('june andrew', 67), ('andrew montford', 67), ('andrew clark', 67), ('andrew mehle', 67), ('andrew crane', 67)]",andrew m cuomo
313,andrew roberston,2,"[('andrew robertson', 94), ('andrew preston', 87), ('andrew norton', 83), ('robertson', 80), ('andrew gibson', 76), ('charles robertson', 73), ('andrew weber', 71), ('andrew bates', 71), ('andrew potter', 69), ('andrew goethe', 69), ('andrew noymer', 69), ('andrew winton', 69), ('nichola roberston', 68), ('andrew rambaut', 67), ('andrew saul', 67), ('andrew chan', 67), ('andrew stephen', 67), ('anderson', 67), ('june andrew', 67), ('andrew beam', 67)]",andrew robertson
314,andrew robertson,2,"[('andrew roberston', 94), ('robertson', 90), ('andrew norton', 83), ('andrew preston', 80), ('charles robertson', 79), ('andrew gibson', 76), ('andrew weber', 71), ('andrew bates', 71), ('robertson davenport', 70), ('andrew potter', 69), ('andrew goethe', 69), ('andrew noymer', 69), ('andrew winton', 69), ('andrew rambaut', 67), ('andrew saul', 67), ('andrew chan', 67), ('anderson', 67), ('june andrew', 67), ('andrew beam', 67), ('andrew chesnut', 67)]",andrew roberston
339,angela cornell,2,"[('angela b cornell', 95), ('angela merkel', 74), ('angela yeh', 71), ('angela gardner', 71), ('brad cornell', 70), ('daniel crane', 69), ('angela charlton', 69), ('angela mills', 69), ('angela rippon', 67), ('angie bone', 67), ('angela hernandez', 67), ('angela rogers', 67), ('angela hewlett', 64), ('al gore', 64), ('angela caliendo', 62), ('andrea mitchell', 62), ('alma moeller', 62), ('gerardo chowell', 62), ('thomas cornwell', 62), ('andrew crane', 62)]",angela b cornell
359,anita kurian,2,"[('anita kurlan', 92), ('sanjay kurani', 72), ('anita allen', 70), ('kurz', 68), ('anita isaacs', 67), ('kranthi achanta', 64), ('annika sridharan', 64), ('kriangsak atipornwanich', 64), ('anita juvvadi', 64), ('anna kraczyna', 64), ('nadia kounang', 64), ('aruna subramanian', 62), ('karan girotra', 61), ('janaki amin', 61), ('carina king', 61), ('adrian', 60), ('jan pieter krahnen', 60), ('ali khan', 60), ('ali', 60), ('andrea crisanti', 59)]",anita kurlan
360,anita kurlan,2,"[('anita kurian', 92), ('sanjay kurani', 72), ('anita allen', 70), ('kurz', 68), ('kranthi achanta', 64), ('atul kulkarni', 64), ('marynia kolak', 64), ('anita juvvadi', 64), ('anna kraczyna', 64), ('pam karlan', 64), ('nadia kounang', 64), ('karan girotra', 61), ('jan pieter krahnen', 60), ('ali khan', 60), ('ali', 60), ('ala', 60), ('katie kunselman', 59), ('nirmal kumar', 58), ('anita thomas', 58), ('amir attaran', 58)]",anita kurian
384,anne rimoin,2,"[('anne w rimoin', 95), ('anne marie gloster', 86), ('liise anne pirofski', 86), ('anne grete hestnes', 86), ('anne marie slaughter', 86), ('anne mcclain', 70), ('anne zink', 70), ('angela rippon', 67), ('anne deprince', 67), ('jan rivkin', 67), ('anand menon', 64), ('del rio', 64), ('ann carlson', 64), ('simon anthony', 64), ('jane rooney', 64), ('anderson', 63), ('aimee moulin', 61), ('anna hemming', 61), ('robin patel', 61), ('ron daniels', 61)]",anne w rimoin
395,anthony,1,"[('anthony fuaci', 90), ('anthony fauc', 90), ('anthony kreis', 90), ('anthony kaveh', 90), ('anthony cardillo', 90), ('anthony fauci', 90), ('anthony santella', 90), ('anthony almojera', 90), ('anthony fehr', 90), ('simon anthony', 90), ('anthony costello', 90), ('anthony kennedy', 90), ('anthnony fauci', 77), ('antonio pensenti', 64), ('anton sebastianpillai', 64), ('michael d antonio', 64), ('antonio fatas', 64), ('anant bhan', 59), ('antonia ho', 59), ('amy acton', 59)]",anthony cardillo
399,anthony fauc,2,"[('anthony fauci', 96), ('anthnony fauci', 92), ('anthony', 90), ('anthony fuaci', 88), ('anthony fehr', 75), ('anthony kaveh', 72), ('anthony kreis', 70), ('anthony cardillo', 70), ('anthony santella', 70), ('anthony almojera', 70), ('simon anthony', 70), ('anthony costello', 70), ('anthony kennedy', 70), ('antonio fatas', 64), ('semansky fauci', 62), ('danny avula', 61), ('archon fung', 61), ('frank atherton', 59), ('yahoo finance', 56), ('gao fu', 56)]",anthony fauci
400,anthony fauci,2,"[('anthony fauc', 96), ('anthnony fauci', 96), ('anthony fuaci', 92), ('anthony', 90), ('sara moniuszko fauci', 86), ('michael collins fauci', 86), ('anthony fehr', 72), ('anthony kreis', 69), ('anthony kaveh', 69), ('anthony cardillo', 69), ('semansky fauci', 67), ('anthony santella', 66), ('anthony almojera', 66), ('simon anthony', 66), ('anthony costello', 66), ('anthony kennedy', 66), ('antonio fatas', 62), ('fauci trump', 59), ('danny avula', 58), ('archon fung', 58)]",anthnony fauci
402,anthony fuaci,2,"[('anthony fauci', 92), ('anthony', 90), ('anthnony fauci', 89), ('anthony fauc', 88), ('anthony fehr', 72), ('anthony kreis', 69), ('anthony kaveh', 69), ('anthony cardillo', 69), ('anthony santella', 66), ('anthony almojera', 66), ('simon anthony', 66), ('anthony costello', 66), ('anthony kennedy', 66), ('antonio fatas', 62), ('ali', 60), ('gao fu', 60), ('semansky fauci', 59), ('danny avula', 58), ('archon fung', 58), ('jonathan t fluharty jaidee', 56)]",anthony fauci
435,armstrong,1,"[('katrina armstrong', 90), ('patrick armstrong', 90), ('robin armstrong', 90), ('amy stone', 67), ('steven b abramson', 64), ('david abramson', 64), ('aaron milstone', 61), ('amy', 60), ('anderson', 59), ('ari brown', 56), ('amy acton', 56), ('adams', 54), ('amy dalton', 53), ('abigail carlson', 53), ('gerard anderson', 53), ('danielle anderson', 53), ('andrew preston', 53), ('stephen anderson', 53), ('angela charlton', 53), ('amy castro baker', 53)]",katrina armstrong
447,arthur reingold,2,"[('arthur l reingold', 95), ('arthur jey', 86), ('garth reynolds', 76), ('steve arthur', 64), ('arturo bris', 62), ('arthur markman', 62), ('arthur caplan', 60), ('aurore', 60), ('jonathan rynhold', 58), ('richard greil', 57), ('robert r redfield', 56), ('scott rein', 54), ('ruth faden', 54), ('laura riley', 54), ('walter reed', 54), ('richard fording', 53), ('jane ruth aceng', 53), ('jonathan reiner', 53), ('ron hira', 53), ('richard grenell', 53)]",arthur l reingold
490,ava louise,2,"[('philcbs ava louise', 90), ('lo', 90), ('mary louise mclaws', 86), ('louise chow', 71), ('louis katz', 66), ('louis falo', 66), ('jose alvaro moises', 63), ('eva larue', 63), ('mark lurie', 60), ('ala', 60), ('liu', 60), ('lori d', 57), ('alison bateman house', 57), ('adam rubinstein', 56), ('lois ann welsh', 55), ('alan blinder', 55), ('lindsey graham', 55), ('david levine', 55), ('alexa mieses', 55), ('hagai levine', 55)]",philcbs ava louise
497,azar,1,"[('alex azar', 90), ('julia azari', 90), ('fernando rodriguez artalejo', 68), ('adarsh pratap singh', 68), ('katrina armstrong', 68), ('jacinda ardern', 68), ('azra ghani', 68), ('aaron adalja', 68), ('aaron milstone', 68), ('aaron reeves', 68), ('abraar karan', 68), ('aaron carroll', 68), ('adil el tayar', 68), ('aaron naeger', 68), ('aldo munoz armenta', 68), ('aaron shakow', 68), ('faezah a bux', 68), ('anant agarwal', 68), ('aaron steckelberg', 68), ('azadeh shirazi', 68)]",alex azar
519,barr,1,"[('william barr', 90), ('leila barraza', 90), ('bill barr', 90), ('barry eichengreen', 90), ('matthew barreto', 90), ('barry bloom', 90), ('michael barr', 90), ('john barrasso', 90), ('rachel barrack', 90), ('reuterscarlos barria', 90), ('burroughs', 68), ('ajay kumar bharti', 68), ('barbara dipietro', 68), ('melissa bartick', 68), ('barbara meinke', 68), ('geoff baird', 68), ('anasse bari', 68), ('kenneth barish', 68), ('barbara lee', 68), ('rahul bharat', 68)]",william barr
545,benjamin chan,2,"[('benjamin chapman', 90), ('benjamin clark', 81), ('benjamin bacon', 81), ('benjamin schwartz', 80), ('chant', 80), ('benjamin neuman', 79), ('richard benjamin', 79), ('benjamin lopman', 79), ('benjamin cowling', 76), ('benjamin cowie', 74), ('benjamin zipursky', 72), ('benjamin sommers', 72), ('benjamin weston', 72), ('benjamin singer', 72), ('benjamin tausig', 72), ('benjamin dalziel', 72), ('georges c benjamin', 72), ('regina benjamin', 72), ('benjamin f miller', 72), ('benjamin brunjes', 72)]",benjamin chapman
579,bharat pankhania,2,"[('bharat pankhankia', 97), ('buhr', 68), ('barr', 68), ('rahul bharat', 64), ('pavan bhatraju', 64), ('hansa bhargava', 64), ('nita bharti', 64), ('sarah park', 63), ('barbara sahakian', 62), ('erica pan', 60), ('farhan bhatti', 59), ('minakshi bhardwaj', 58), ('brian monahan', 55), ('anant bhan', 54), ('maria pena', 54), ('ras baraka', 54), ('amiyatosh purnanandam', 54), ('debra patt', 54), ('ram bhat', 53), ('brian hainline', 53)]",bharat pankhankia
583,biden,1,"[('jill biden', 90), ('joe biden', 90), ('lindsey baden', 72), ('matthew bidwell', 72), ('michael baden', 72), ('robert o brien', 72), ('beth seidenberg', 72), ('john binder', 72), ('mary o brien', 72), ('richard binzel', 54), ('douglas brinkley', 54), ('brian monahan', 54), ('geoff baird', 54), ('bernard devalois', 54), ('nahid bhadelia', 54), ('benny mathew', 54), ('rick brennan', 54), ('adam bernheim', 54), ('brian long', 54), ('kate bedingfield', 54)]",jill biden
584,bill,1,"[('bill wuest', 90), ('bill cassidy', 90), ('bill clinton', 90), ('bill barr', 90), ('bill hemmer', 90), ('bill de blasio', 90), ('bill hanage', 90), ('bill castellano', 90), ('bill morice', 90), ('billy graham', 90), ('alexander billioux', 90), ('bill bennett', 90), ('bill gates', 90), ('bill english', 90), ('bill maher', 90), ('bill robinson', 90), ('bill bowtell', 90), ('billie eilish', 90), ('alex billioux', 90), ('sue anne bell', 68)]",bill castellano
602,birx,1,"[('john fritze birx', 90), ('debbie birx', 90), ('deborah l birx', 90), ('deirdre shesgreen birx', 90), ('geoff baird', 68), ('sheila bird', 68), ('deborah brix', 68), ('brian bird', 68), ('cao bin', 51), ('bob iger', 50), ('bill', 50), ('buhr', 50), ('barr', 50), ('bill barr', 46), ('burroughs', 45), ('silvio brusaferro', 45), ('wolf blitzer', 45), ('richard binzel', 45), ('ajay kumar bharti', 45), ('douglas brinkley', 45)]",deirdre shesgreen birx
603,bloomberg,1,"[('michael r bloomberg', 90), ('fiona bloomer', 64), ('dean blumberg', 64), ('bloomfield', 63), ('ashley bloomfield', 60), ('sarah bloom raskin', 60), ('sally bloomfield', 60), ('emma frances bloomfield', 60), ('bob iger', 59), ('lorenzo berra', 55), ('tom bettag', 53), ('bob cooper', 53), ('bill maher', 53), ('bob egelko', 53), ('robert b ford', 52), ('alan berger', 50), ('carl bergstrom', 50), ('bill hemmer', 50), ('barry bloom', 50), ('bob watcher', 50)]",michael r bloomberg
